,Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
31,01/28/2014,CHEV,2D,,SIL,N675496,IL,701 N. Sacramento,(773) 265-7605,6773070
32,01/28/2014,FORD,PK,TK,GRN,227R661,IL,701 N. Sacramento,(773) 265-7605,6773058
33,01/28/2014,FORD,LL,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6773061
34,01/28/2014,MITS,4D,,BLK,N205649,IL,701 N. Sacramento,(773) 265-7605,6773062
35,01/28/2014,TOYT,4T,,GRY,R415567,IL,701 N. Sacramento,(773) 265-7605,6773065
36,01/28/2014,FORD,VN,TK,BLK,S105462,IL,10300 S. Doty,(773) 568-8495 ,2728628
37,01/28/2014,FORD,VN,EC1,WHI,1374725-,IL,400 E. Lower Wacker,(312) 744-7550,900212
38,01/28/2014,CHEV,VN,,WHI,51336PB,IL,701 N. Sacramento,(773) 265-7605,6773066
39,01/28/2014,DODG,LL,TK,BLU,51527U,IL,10300 S. Doty,(773) 568-8495 ,2728627
40,01/28/2014,CHEV,4D,,BLK,K115276,IL,701 N. Sacramento,(773) 265-7605,6773059
41,01/28/2014,CHEV,4D,,BRO,V108507,IL,10300 S. Doty,(773) 568-8495 ,2728626
42,01/28/2014,NISS,4D,,WHI,N857454,IL,10300 S. Doty,(773) 568-8495 ,2728625
43,01/28/2014,PONT,4D,,BLK,S231267,IL,701 N. Sacramento,(773) 265-7605,6773060
44,01/28/2014,HOND,2D,,BLK,N143375,IL,701 N. Sacramento,(773) 265-7605,6773063
45,01/28/2014,FORD,4D,,WHI,26067TX,IL,701 N. Sacramento,(773) 265-7605,6773064
46,01/28/2014,CHEV,VN,TK,GRN,9156071,IL,10300 S. Doty,(773) 568-8495 ,2728624
47,01/28/2014,FORD,4D,,BLK,S633142,IL,10300 S. Doty,(773) 568-8495 ,2728623
48,01/28/2014,BUIC,4D,,RED,5668383,IL,10300 S. Doty,(773) 568-8495 ,2728622
49,01/28/2014,CADI,4D,,WHI,R613973,IL,10300 S. Doty,(773) 568-8495 ,2728621
50,01/28/2014,ACUR,4D,,GRY,S473648,IL,400 E. Lower Wacker,(312) 744-7550,900211
51,01/28/2014,CHEV,4D,,BLU,N260551,IL,10300 S. Doty,(773) 568-8495 ,2728620
52,01/28/2014,GMC,VN,TK,,N663860,IL,10300 S. Doty,(773) 568-8495 ,2728619
53,01/28/2014,FORD,PK,,WHI,30211Z,IL,10300 S. Doty,(773) 568-8495 ,2728618
54,01/28/2014,CHRY,4D,,GRY,S683327,IL,10300 S. Doty,(773) 568-8495 ,2728617
55,01/28/2014,TOYT,4D,,SIL,V127837,IL,400 E. Lower Wacker,(312) 744-7550,900210
56,01/28/2014,FORD,LL,,BLK,N 893841,IL,400 E. Lower Wacker,(312) 744-7550,900207
57,01/27/2014,FORD,LL,,RED,R999936,IL,10300 S. Doty,(773) 568-8495 ,2728616
58,01/27/2014,CHRY,4D,,GRY,N679851,IL,10300 S. Doty,(773) 568-8495 ,2728615
59,01/27/2014,CHEV,VN,TK,GRY,N769057,IL,10300 S. Doty,(773) 568-8495 ,2728614
60,01/27/2014,PONT,4D,,BLU,L969994,IL,701 N. Sacramento,(773) 265-7605,6773056
61,01/27/2014,MERC,4D,,TAN,L428002,IL,10300 S. Doty,(773) 568-8495 ,2728613
62,01/27/2014,KIA,4D,,RED,775ST6,MA,10300 S. Doty,(773) 568-8495 ,2728612
63,01/27/2014,JEEP,LL,TK,BLK,S333430,IL,10300 S. Doty,(773) 568-8495 ,2728611
64,01/27/2014,MERC,4D,,BLU,559DNM,WI,701 N. Sacramento,(773) 265-7605,6773055
65,01/27/2014,KIA,4D,,BLK,N168987,IL,701 N. Sacramento,(773) 265-7605,6773054
66,01/27/2014,CHRY,4D,,GRY,R636453,IL,701 N. Sacramento,(773) 265-7605,6773053
67,01/27/2014,OLDS,4D,ALO,BLU,,IL,701 N. Sacramento,(773) 265-7605,6773052
68,01/27/2014,FORD,4D,,GRN,884P365,IL,701 N. Sacramento,(773) 265-7605,6773051
69,01/27/2014,CHEV,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6773049
70,01/27/2014,FORD,4D,,BLK,R641017,IL,400 E. Lower Wacker,(312) 744-7550,900206
71,01/27/2014,PONT,4D,,WHI,N573872,IL,701 N. Sacramento,(773) 265-7605,6773050
72,01/27/2014,CHRY,4D,,BLK,P574587,IL,10300 S. Doty,(773) 568-8495 ,2728610
73,01/27/2014,GMC,VN,TK,BLU,R208327,IL,10300 S. Doty,(773) 568-8495 ,2728609
74,01/27/2014,JEEP,LL,TK,SIL,L923829,IL,10300 S. Doty,(773) 568-8495 ,2728604
75,01/27/2014,BUIC,VN,TK,GLD,L633285,IL,10300 S. Doty,(773) 568-8495 ,2728608
76,01/27/2014,CHEV,LL,TK,BLK,N232311,IL,10300 S. Doty,(773) 568-8495 ,2728607
77,01/27/2014,MITS,4D,,SIL,,,10300 S. Doty,(773) 568-8495 ,2728606
78,01/27/2014,SATR,4D,,GRY,,,10300 S. Doty,(773) 568-8495 ,2728605
79,01/27/2014,TOYT,4D,,GRN,PASTELE,IL,701 N. Sacramento,(773) 265-7605,6773048
80,01/27/2014,CHEV,4D,,MAR,R953020,IL,10300 S. Doty,(773) 568-8495 ,2728603
81,01/27/2014,JEEP,LL,TK,WHI,R460220,IL,701 N. Sacramento,(773) 265-7605,6773047
82,01/27/2014,JEEP,LL,TK,BLU,2256973,IL,701 N. Sacramento,(773) 265-7605,6773046
83,01/27/2014,HOND,4D,,BGE,R976340,IL,10300 S. Doty,(773) 568-8495 ,2728602
84,01/27/2014,HUMM,LL,,SIL,L589185,IL,10300 S. Doty,(773) 568-8495 ,2728601
85,01/27/2014,MITS,4D,GAL,GRY,P911241,IL,400 E. Lower Wacker,(312) 744-7550,900201
86,01/27/2014,DODG,PK,TK,BLK,,IL,701 N. Sacramento,(773) 265-7605,6773045
87,01/27/2014,BUIC,4D,,GRN,S391654,IL,701 N. Sacramento,(773) 265-7605,6773044
88,01/27/2014,TOYT,LL,,BLK,JBH7339,IL,701 N. Sacramento,(773) 265-7605,6773042
89,01/27/2014,PONT,2D,,RED,K494343,IL,701 N. Sacramento,(773) 265-1846,1532086
90,01/27/2014,KIA,4D,,RED,N338673,IL,701 N. Sacramento,(773) 265-7605,6773043
91,01/27/2014,FORD,4D,,WHI,L745934,IL,701 N. Sacramento,(773) 265-7605,6773041
92,01/27/2014,HOND,2D,,RED,,IL,701 N. Sacramento,(773) 265-7605,6773010
93,01/27/2014,FORD,VN,,GRN,1277473B,IL,701 N. Sacramento,(773) 265-7605,6773008
94,01/27/2014,FORD,2D,,RED,M65VG,FL,701 N. Sacramento,(773) 265-7605,6773009
95,01/27/2014,FORD,PK,,BLK,R134787,IL,701 N. Sacramento,(773) 265-1846,1532080
96,01/27/2014,BUIC,4D,,GRN,S678368,IL,10300 S. Doty,(773) 568-8495 ,2728600
97,01/27/2014,VOLV,4D,,GRN,P656625,IL,701 N. Sacramento,(773) 265-1846,1532081
98,01/27/2014,HYUN,4D,,GRY,R135571,IL,701 N. Sacramento,(773) 265-1846,1532082
99,01/27/2014,HYUN,4D,,PLE,P236787,IL,10300 S. Doty,(773) 568-8495 ,2728599
100,01/27/2014,CHEV,4D,,TAN,R215481,IL,701 N. Sacramento,(773) 265-1846,1532083
101,01/27/2014,JEEP,LL,,GLD,AJP0389,GA,701 N. Sacramento,(773) 265-1846,1532084
102,01/27/2014,PONT,2T,,PLE,S389166,IL,10300 S. Doty,(773) 568-8495 ,2728598
103,01/27/2014,VOLV,4D,,GRN,K986266,IL,701 N. Sacramento,(773) 265-1846,1532085
104,01/27/2014,HOND,LL,TK,BLK,A645746,IL,10300 S. Doty,(773) 568-8495 ,2728597
105,01/27/2014,HYUN,LL,TK,BLU,S856337,IL,10300 S. Doty,(773) 568-8495 ,2728590
106,01/27/2014,PONT,4D,,GRY,A548393,IL,10300 S. Doty,(773) 785-9752,1714195
107,01/27/2014,FRHT,SE,TK,,,,10300 S. Doty,(773) 785-9752,1714194
108,01/27/2014,FORD,4D,,YEL,S211583,IL,10300 S. Doty,(773) 785-9752,1714193
109,01/27/2014,BUIC,LL,TK,GRY,R393783,IL,10300 S. Doty,(773) 568-8495 ,2728593
110,01/27/2014,TOYT,4D,,SIL,H154569,IL,400 E. Lower Wacker,(312) 744-7550,900190
111,01/27/2014,CADI,4D,,BLK,X470545,IL,10300 S. Doty,(773) 568-8495 ,2728594
112,01/27/2014,MERC,VN,TK,WHI,,,10300 S. Doty,(773) 568-8495 ,2728591
113,01/27/2014,FORD,LL,TK,MAR,K517422,IL,10300 S. Doty,(773) 568-8495 ,2728587
114,01/27/2014,CHRY,4D,,GRN,R957876,IL,10300 S. Doty,(773) 568-8495 ,2728580
115,01/27/2014,NISS,4D,,SIL,P269394,IL,10300 S. Doty,(773) 568-8495 ,2728579
116,01/27/2014,INFI,4D,,SIL,DL4599D,IL,10300 S. Doty,(773) 568-8495 ,2728575
117,01/27/2014,MERC,4D,,RED,P880789,IL,10300 S. Doty,(773) 568-8495 ,2728578
118,01/27/2014,SATR,4D,,GRN,,IL,10300 S. Doty,(773) 568-8495 ,2728585
119,01/27/2014,ROV,LL,TK,DBL,,IL,10300 S. Doty,(773) 568-8495 ,2728576
120,01/27/2014,TOYT,4D,,GRY,K383509,IL,10300 S. Doty,(773) 568-8495 ,2728589
121,01/27/2014,GMC,VN,,MAR,S125082,IL,10300 S. Doty,(773) 568-8495 ,2728588
122,01/27/2014,CHEV,LL,,BLU,X901312,IL,10300 S. Doty,(773) 568-8495 ,2728584
123,01/27/2014,OLDS,VN,,TAN,R429363,IL,10300 S. Doty,(773) 568-8495 ,2728572
124,01/27/2014,MERC,VN,TK,GRY,S857990,IL,10300 S. Doty,(773) 568-8495 ,2728545
125,01/27/2014,CHEV,4D,,GRN,R507618,IL,10300 S. Doty,(773) 568-8495 ,2728582
126,01/27/2014,BUIC,LL,,MAR,P142029,IL,10300 S. Doty,(773) 568-8495 ,2728581
127,01/27/2014,PONT,4D,,BLK,L649382,IL,10300 S. Doty,(773) 568-8495 ,2728574
128,01/27/2014,SATR,LL,,SIL,H553163,IL,10300 S. Doty,(773) 568-8495 ,2728573
129,01/27/2014,TOYT,4D,,TAN,R378396,IL,10300 S. Doty,(773) 568-8495 ,2728570
130,01/27/2014,CHEV,LL,,TAN,P357040,IL,10300 S. Doty,(773) 568-8495 ,2728569
131,01/27/2014,DODG,VN,,PLE,N656954,IL,10300 S. Doty,(773) 568-8495 ,2728562
132,01/27/2014,BUIC,4D,,GRY,933P043,IL,10300 S. Doty,(773) 568-8495 ,2728577
133,01/27/2014,CHRY,4D,,BLK,H126144,IL,10300 S. Doty,(773) 568-8495 ,2728561
134,01/27/2014,BUIC,4D,,TAN,K525181,IL,10300 S. Doty,(773) 568-8495 ,2728552
135,01/27/2014,TOYT,4D,,BLK,DW7X916,TX,10300 S. Doty,(773) 568-8495 ,2728549
136,01/27/2014,CHEV,VN,,GRN,N231784,IL,10300 S. Doty,(773) 568-8495 ,2728551
137,01/27/2014,VOLK,4D,,,9519761,IL,10300 S. Doty,(773) 568-8495 ,2728560
138,01/27/2014,HOND,4D,,BLK,209192,IL,400 E. Lower Wacker,(312) 744-7550,900177
139,01/27/2014,TOYT,2D,,GRN,,IL,10300 S. Doty,(773) 785-9752,1714192
140,01/27/2014,HOND,4D,,GRY,7565920,IL,400 E. Lower Wacker,(312) 744-7550,900176
141,01/27/2014,OLDS,4D,,MAR,X123516,IL,10300 S. Doty,(773) 785-9752,1714191
142,01/27/2014,BMW,4D,,BLU,L924563,IL,10300 S. Doty,(773) 568-8495 ,2728559
143,01/27/2014,NISS,4D,,SIL,P739178,IL,10300 S. Doty,(773) 568-8495 ,2728557
144,01/27/2014,FORD,VN,,MAR,P358857,IL,10300 S. Doty,(773) 568-8495 ,2728555
145,01/27/2014,FORD,VN,,GRY,5268874,IL,400 E. Lower Wacker,(312) 744-7550,900173
146,01/27/2014,FORD,PK,,RED,1275460,IL,10300 S. Doty,(773) 568-8495 ,2728554
147,01/27/2014,DODG,VN,TK,GRY,H678986,IL,10300 S. Doty,(773) 568-8495 ,2728547
148,01/27/2014,CHEV,LL,TK,MAR,G271895,IL,10300 S. Doty,(773) 568-8495 ,2728546
149,01/27/2014,NISS,4D,,BLK,246R432,IL,701 N. Sacramento,(773) 265-7605,6773006
150,01/27/2014,FORD,LL,TK,BGE,1332875B,IL,701 N. Sacramento,(773) 265-7605,6773005
151,01/27/2014,JEEP,LL,,SIL,A662578,IL,400 E. Lower Wacker,(312) 744-7550,900171
152,01/27/2014,FORD,4D,,MAR,R747617,IL,10300 S. Doty,(773) 568-8495 ,2728544
153,01/27/2014,FORD,4D,,BLK,R823747,IL,701 N. Sacramento,(773) 265-7605,6773004
154,01/27/2014,DODG,4D,,RED,P481869,IL,701 N. Sacramento,(773) 265-7605,6773003
155,01/27/2014,CHRY,VN,TK,RED,167R258,IL,701 N. Sacramento,(773) 265-7605,6773002
156,01/27/2014,SUZI,4D,,BLK,P345240,IL,701 N. Sacramento,(773) 265-7605,6773001
157,01/27/2014,FORD,4D,,GRY,1D26F4,MI,701 N. Sacramento,(773) 265-7605,6773000
158,01/27/2014,SUZI,LL,TK,BLK,P436896,IL,701 N. Sacramento,(773) 265-7605,6772999
159,01/27/2014,DODG,PK,,MAR,868JBB,MN,701 N. Sacramento,(773) 265-7605,6773034
160,01/27/2014,BUIC,LL,,GLD,L650043,IL,701 N. Sacramento,(773) 265-7605,6773035
161,01/27/2014,HOND,4D,,BLK,007DCE,MN,701 N. Sacramento,(773) 265-7605,6773036
162,01/27/2014,SUBA,LL,,GRN,R442369,IL,701 N. Sacramento,(773) 265-7605,6773033
163,01/27/2014,DODG,4D,,BLK,R165032,IL,701 N. Sacramento,(773) 265-7605,6772998
164,01/27/2014,TOYT,4D,,BLU,X770266,IL,10300 S. Doty,(773) 568-8495 ,2728543
165,01/27/2014,DODG,LL,,SIL,L420041,IL,10300 S. Doty,(773) 568-8495 ,2728541
166,01/27/2014,DODG,VN,,GRY,R128661,IL,10300 S. Doty,(773) 568-8495 ,2728539
167,01/27/2014,DODG,VN,,BLK,H692059,IL,701 N. Sacramento,(773) 265-7605,6773032
168,01/27/2014,CHEV,LL,,GRY,925TZO,CO,701 N. Sacramento,(773) 265-7605,6773031
169,01/27/2014,CHEV,4D,,RED,S711350,IL,10300 S. Doty,(773) 568-8495 ,2728540
170,01/27/2014,TOYT,4D,,GRN,H846061,IL,701 N. Sacramento,(773) 265-7605,6773030
171,01/27/2014,CHRY,4D,,BLK,S821555,IL,701 N. Sacramento,(773) 265-7605,6773029
172,01/27/2014,LINC,4D,,BLK,S376930,IL,10300 S. Doty,(773) 568-8495 ,2728538
173,01/27/2014,FORD,2D,,WHI,S379295,IL,10300 S. Doty,(773) 568-8495 ,2728536
174,01/27/2014,PONT,4D,,SIL,719P009,IL,10300 S. Doty,(773) 568-8495 ,2728537
175,01/27/2014,BMW,4D,,WHI,CBA1506,GA,10300 S. Doty,(773) 568-8495 ,2728535
176,01/27/2014,HOND,4D,,BLK,7378072,IL,701 N. Sacramento,(773) 265-7605,6773028
177,01/27/2014,CHEV,2D,,BLU,S959659,IL,10300 S. Doty,(773) 568-8495 ,2728534
178,01/27/2014,HOND,4D,,GRY,6943441,IL,701 N. Sacramento,(773) 265-7605,6773027
179,01/27/2014,TOYT,4D,,BLK,068MGV,FL,701 N. Sacramento,(773) 265-7605,6773024
180,01/27/2014,PONT,4D,,WHI,R456009,IL,10300 S. Doty,(773) 568-8495 ,2728533
181,01/27/2014,DODG,LL,,BLK,S387406,IL,10300 S. Doty,(773) 568-8495 ,2725532
182,01/27/2014,CHEV,4D,,GRY,R519096,IL,701 N. Sacramento,(773) 265-7605,6773026
183,01/27/2014,MAZD,4D,,BLK,R261978,IL,701 N. Sacramento,(773) 265-7605,6773025
184,01/27/2014,SATR,4D,,BLK,S138990,IL,701 N. Sacramento,(773) 265-7605,6773023
185,01/27/2014,ACUR,4D,,BLK,7519276,IL,701 N. Sacramento,(773) 265-7605,6773022
186,01/27/2014,CHEV,LL,,BLK,K807002,IL,701 N. Sacramento,(773) 265-7605,6773021
187,01/27/2014,FORD,2D,,BLK,1050538,IL,701 N. Sacramento,(773) 265-7605,6773020
188,01/27/2014,SUBA,SW,,BLK,6KQR56,MI,701 N. Sacramento,(773) 265-7605,6773016
189,01/27/2014,FORD,LL,,GRN,N183637,IL,701 N. Sacramento,(773) 265-7605,6773015
190,01/27/2014,TOYT,2D,,BLK,R488455,IL,701 N. Sacramento,(773) 265-7605,6773017
191,01/27/2014,TOYT,4D,,GRY,L286096,IL,701 N. Sacramento,(773) 265-7605,6773013
192,01/27/2014,LEXS,LL,,GRY,L975639,IL,701 N. Sacramento,(773) 265-7605,6773011
193,01/27/2014,HOND,VN,TK,TAN,S158599,IL,701 N. Sacramento,(773) 265-7605,6772997
194,01/27/2014,JEEP,LL,TK,WHI,N118063,IL,701 N. Sacramento,(773) 265-7605,6772996
195,01/27/2014,MAZD,2D,,GRY,H799852,IL,701 N. Sacramento,(773) 265-7605,6772995
196,01/27/2014,DODG,VN,TK,GRY,S716854,IL,701 N. Sacramento,(773) 265-7605,6772994
197,01/27/2014,HOND,4D,,BLK,X908576,IL,701 N. Sacramento,(773) 265-7605,6772989
198,01/27/2014,CHEV,4D,,WHI,X470422,IL,701 N. Sacramento,(773) 265-7605,6772993
199,01/27/2014,DODG,VN,,GRY,P359053,IL,701 N. Sacramento,(773) 265-7605,6772992
200,01/27/2014,FORD,LL,TK,MAR,P427794,IL,701 N. Sacramento,(773) 265-7605,6772991
201,01/27/2014,GMC,LL,,BLK,S390443,IL,701 N. Sacramento,(773) 265-7605,6772990
202,01/27/2014,HOND,2D,,BLK,K538325,IL,701 N. Sacramento,(773) 265-7605,6772988
203,01/27/2014,BUIC,LL,TK,WHI,8071765,IL,701 N. Sacramento,(773) 265-7605,6772987
204,01/27/2014,OLDS,4D,,GRN,R132470,IL,701 N. Sacramento,(773) 265-7605,6772986
205,01/26/2014,DODG,4D,,GRY,R112515,IL,701 N. Sacramento,(773) 265-7605,6772871
206,01/26/2014,PONT,4D,,,,IL,10300 S. Doty,(773) 568-8495 ,2728528
207,01/26/2014,CHEV,VN,,RED,S113976,IL,701 N. Sacramento,(773) 265-7605,6772985
208,01/26/2014,NISS,LL,,GRY,N531298,IL,701 N. Sacramento,(773) 265-7605,6772984
209,01/26/2014,PONT,VN,TK,RED,S236531,IL,701 N. Sacramento,(773) 265-7605,6772983
210,01/26/2014,NISS,4D,,GRN,P328408,IL,10300 S. Doty,(773) 568-8495 ,2728527
211,01/26/2014,VOLV,4D,,BLU,925P489,IL,701 N. Sacramento,(773) 265-7605,6772982
212,01/26/2014,FORD,LL,,RED,1732923,IL,701 N. Sacramento,(773) 265-7605,6772981
213,01/26/2014,FORD,LL,,GRN,79095FF,IL,10300 S. Doty,(773) 568-8495 ,2728526
214,01/26/2014,FORD,4D,,BLU,P656159,IL,701 N. Sacramento,(773) 265-7605,6772980
215,01/26/2014,FORD,PK,,RED,,IL,10300 S. Doty,(773) 568-8495 ,2728525
216,01/26/2014,HOND,2D,,GRY,S834538,IL,701 N. Sacramento,(773) 265-7605,6772979
217,01/26/2014,MITS,4D,,GRN,S211534,IL,701 N. Sacramento,(773) 265-7605,6772978
218,01/26/2014,NISS,4D,,BLU,S645390,IL,701 N. Sacramento,(773) 265-7605,6772977
219,01/26/2014,CHEV,2D,,GRN,R502271,IL,701 N. Sacramento,(773) 265-7605,6772976
220,01/26/2014,LINC,2D,,WHI,,IL,10300 S. Doty,(773) 568-8495 ,2728523
221,01/26/2014,FORD,LL,,YEL,97730G,IL,701 N. Sacramento,(773) 265-7605,6772973
222,01/26/2014,CHEV,4D,,GRN,R453787,IL,701 N. Sacramento,(773) 265-7605,6772974
223,01/26/2014,BUIC,4D,,TAN,R957884,IL,701 N. Sacramento,(773) 265-7605,6772975
224,01/26/2014,CHEV,LL,TK,BLK,N655081,IL,10300 S. Doty,(773) 568-8495 ,2728522
225,01/26/2014,CHEV,VN,TK,MAR,R217039,IL,10300 S. Doty,(773) 568-8495 ,2728521
226,01/26/2014,CHEV,LL,,GRY,S218085,IL,701 N. Sacramento,(773) 265-7605,6772972
227,01/26/2014,CHEV,LL,,BGE,R799928,IL,10300 S. Doty,(773) 568-8495 ,2728519
228,01/26/2014,KIA,LL,,SIL,R728220,IL,10300 S. Doty,(773) 568-8495 ,2728520
229,01/26/2014,MAZD,VN,TK,TAN,R979189,IL,400 E. Lower Wacker,(312) 744-7550,900162
230,01/26/2014,LINC,4D,,GRY,N915120,IL,10300 S. Doty,(773) 568-8495 ,2728517
231,01/26/2014,KIA,VN,,TAN,,IL,10300 S. Doty,(773) 568-8495 ,2728518
232,01/26/2014,TOYT,2D,,BLU,7551172,IL,701 N. Sacramento,(773) 265-7605,6772963
233,01/26/2014,TOYT,LL,,BLK,K922635,IL,701 N. Sacramento,(773) 265-7605,6772949
234,01/26/2014,SUZI,LL,,BLK,S683899,IL,701 N. Sacramento,(773) 265-7605,6772947
235,01/26/2014,PONT,4D,,BLK,R608272,IL,701 N. Sacramento,(773) 265-7605,6772946
236,01/26/2014,TOYT,4D,,GRN,,IL,701 N. Sacramento,(773) 265-7605,6772877
237,01/26/2014,HOND,4D,,BRO,,IL,701 N. Sacramento,(773) 265-7605,6772873
238,01/26/2014,CHEV,LL,,TAN,S480276,IL,701 N. Sacramento,(773) 265-7605,6772870
239,01/26/2014,TOYT,4D,,SIL,CK8G794,TX,701 N. Sacramento,(773) 265-7605,6772964
240,01/26/2014,PONT,4D,,WHI,A569603,IL,701 N. Sacramento,(773) 265-7605,6772965
241,01/26/2014,TOYT,4D,,SIL,V105210,IL,701 N. Sacramento,(773) 265-7605,6772966
242,01/26/2014,MAZD,4D,,TAN,S782548,IL,10300 S. Doty,(773) 568-8495 ,2728516
243,01/26/2014,DODG,LL,TK,BRO,R173019,IL,10300 S. Doty,(773) 568-8495 ,2728515
244,01/26/2014,OLDS,LL,TK,BLK,904P011,IL,10300 S. Doty,(773) 568-8495 ,2728514
245,01/26/2014,FORD,LL,,BLK,958P471,IL,10300 S. Doty,(773) 568-8495 ,2728491
246,01/26/2014,BMW,4D,,GRY,6YLJ628,CA,10300 S. Doty,(773) 568-8495 ,2728513
247,01/26/2014,TOYT,4D,,TAN,1785126,IL,701 N. Sacramento,(773) 265-7605,6772961
248,01/26/2014,TOYT,4D,,MAR,1321764,IL,10300 S. Doty,(773) 568-8495 ,2728482
249,01/26/2014,PONT,4D,,GRY,S863982,IL,10300 S. Doty,(773) 568-8495 ,2728481
250,01/26/2014,DODG,VN,,GLD,H641014,IL,10300 S. Doty,(773) 568-8495 ,2728480
251,01/26/2014,ACUR,4D,,BLK,N758129,IL,10300 S. Doty,(773) 568-8495 ,2728512
252,01/26/2014,HOND,4D,,SIL,G108115,IL,701 N. Sacramento,(773) 265-7605,6772969
253,01/26/2014,TOYT,4D,,WHI,2483TX,IL,701 N. Sacramento,(773) 265-7605,6772968
254,01/26/2014,TOYT,4D,,BGE,L312370,IL,701 N. Sacramento,(773) 265-7605,6772967
255,01/26/2014,BMW,4D,,BLU,8469059,IL,701 N. Sacramento,(773) 265-7605,6772874
256,01/26/2014,HOND,2D,,BLK,1567006,IL,10300 S. Doty,(773) 568-8495 ,2728506
257,01/26/2014,DODG,PK,,RED,24279U,IL,10300 S. Doty,(773) 568-8495 ,2728505
258,01/26/2014,FORD,LL,,GRY,6PJN790,CA,701 N. Sacramento,(773) 265-7605,6772876
259,01/26/2014,DODG,4D,,RED,R479229,IL,10300 S. Doty,(773) 568-8495 ,2728504
260,01/26/2014,OLDS,2D,,WHI,R801520,IL,10300 S. Doty,(773) 568-8495 ,2728486
261,01/26/2014,CHEV,4D,,GRY,235R808,IL,10300 S. Doty,(773) 568-8495 ,2728485
262,01/26/2014,FORD,4D,,RED,4019970,IL,10300 S. Doty,(773) 568-8495 ,2728501
263,01/26/2014,LINC,LL,,BLK,R406445,IL,10300 S. Doty,(773) 568-8495 ,2728476
264,01/26/2014,GMC,LL,,MAR,MZNURS1,IL,10300 S. Doty,(773) 568-8495 ,2728500
265,01/26/2014,SUZU,LL,,WHI,L296592,IL,701 N. Sacramento,(773) 265-7605,6772872
266,01/26/2014,SATR,4D,,MAR,VYJ102,IN,10300 S. Doty,(773) 568-8495 ,2728496
267,01/26/2014,DODG,VN,,TAN,,IL,10300 S. Doty,(773) 568-8495 ,2728475
